#cnt bytes time_avg time_min bandwidth
826 6608 1.39115e-05 1.33991e-05 4.93167e+08
831 6648 1.40101e-05 1.37448e-05 4.83673e+08
836 6688 1.38954e-05 1.35541e-05 4.9343e+08
841 6728 1.395e-05 1.36495e-05 4.92913e+08
846 6768 1.40189e-05 1.37448e-05 4.92403e+08
851 6808 1.39976e-05 1.36018e-05 5.00523e+08
856 6848 1.42291e-05 1.39475e-05 4.90985e+08
861 6888 1.40855e-05 1.37091e-05 5.02441e+08
866 6928 1.39209e-05 1.36495e-05 5.07566e+08
871 6968 1.39774e-05 1.37448e-05 5.06954e+08
876 7008 1.39809e-05 1.36971e-05 5.11639e+08
881 7048 1.40721e-05 1.37925e-05 5.11002e+08
886 7088 1.40676e-05 1.38402e-05 5.12131e+08
891 7128 1.40829e-05 1.38998e-05 5.12813e+08
896 7168 1.40982e-05 1.37925e-05 5.19702e+08
901 7208 1.43434e-05 1.39475e-05 5.16796e+08
906 7248 1.4443e-05 1.41978e-05 5.10501e+08
911 7288 1.4502e-05 1.41025e-05 5.16789e+08
916 7328 1.44849e-05 1.40429e-05 5.21831e+08
921 7368 1.45656e-05 1.41501e-05 5.20701e+08
926 7408 1.45216e-05 1.41501e-05 5.23528e+08
931 7448 1.47325e-05 1.42574e-05 5.22394e+08
936 7488 1.48631e-05 1.43051e-05 5.23449e+08
941 7528 1.46097e-05 1.42097e-05 5.29777e+08
946 7568 1.45948e-05 1.42455e-05 5.31255e+08
951 7608 1.46319e-05 1.43528e-05 5.30071e+08
956 7648 1.45675e-05 1.44005e-05 5.31093e+08
961 7688 1.49448e-05 1.44005e-05 5.33871e+08
966 7728 1.466e-05 1.44005e-05 5.36649e+08
971 7768 1.47107e-05 1.44958e-05 5.35878e+08
976 7808 1.47547e-05 1.45555e-05 5.36431e+08
981 7848 1.50372e-05 1.46985e-05 5.33932e+08
986 7888 1.48627e-05 1.46508e-05 5.384e+08
991 7928 1.49341e-05 1.47462e-05 5.3763e+08
996 7968 1.50421e-05 1.47939e-05 5.38601e+08
1001 8008 1.55729e-05 1.51992e-05 5.2687e+08
1006 8048 1.55205e-05 1.52469e-05 5.27846e+08
1011 8088 1.56322e-05 1.52946e-05 5.28816e+08
1016 8128 1.59527e-05 1.54495e-05 5.261e+08
